id,name,population,whostandard,who2012,who2013,who2014,who2015,who2016,who2017,who2018,who2019,who2020,who2021,who2022
ALA,Åland,27385.0,5,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,38341695.0,5,1.0,0.91,0.94,0.98,1.02,0.95,0.93,1.06,1.08,1.2,1.17
XAD,Akrotiri and Dhekelia,24062.0,5,1.17,0.64,0.6,0.6,0.55,0.59,0.46,0.47,0.64,0.54,0.83
ALB,Albania,3087971.0,5,1.08,0.87,0.64,0.97,0.74,0.87,0.85,0.79,0.77,0.68,0.74
DZA,Algeria,44081508.0,5,0.17,0.14,0.04,0.19,0.05,0.14,0.11,0.11,0.07,0.07,0.11
ASM,American Samoa,42424.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,Andorra,85550.0,5,0.34,0.28,0.19,0.29,0.2,0.25,0.27,0.15,0.17,0.19,0.36
AGO,Angola,34602281.0,5,1.47,1.55,1.26,1.47,1.45,1.17,1.34,1.55,1.27,1.21,1.57
AIA,Anguilla,17147.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATG,Antigua and Barbuda,94964.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,Argentina,46266318.0,5,0.57,0.59,0.58,0.57,0.62,0.55,0.56,0.63,0.74,0.61,0.73
ARM,Armenia,3008891.0,5,1.35,1.29,1.27,1.37,1.17,1.37,1.27,1.48,1.28,1.38,1.42
ABW,Aruba,115969.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,Australia,25766691.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
AUT,Austria,8913920.0,5,0.8,0.94,0.73,0.75,0.68,0.71,0.75,0.48,0.46,0.49,0.44
AZE,Azerbaijan,10276210.0,5,0.75,0.61,0.64,0.6,0.62,0.74,0.49,0.77,0.6,0.66,0.67
BHS,Bahamas,333580.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,Bahrain,1379922.0,5,1.54,1.32,1.38,1.37,1.31,1.67,1.56,1.52,1.27,1.36,1.74
BGD,Bangladesh,166358337.0,5,6.15,5.55,5.87,5.59,5.53,5.41,6.81,5.72,6.3,6.34,4.82
BRB,Barbados,297472.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
