id,name,population,pm2022,rank
AFG,Afghanistan,38341695.0,16.98,140.0
ALB,Albania,3087971.0,12.6,109.0
DZA,Algeria,44081508.0,6.14,48.0
AND,Andorra,85550.0,8.72,71.0
AGO,Angola,34602281.0,21.07,160.0
ATG,Antigua and Barbuda,94964.0,1.79,12.0
ARG,Argentina,46266318.0,12.44,106.0
ARM,Armenia,3008891.0,19.51,156.0
ABW,Aruba,115969.0,3.4,30.0
AUS,Australia,25766691.0,3.36,29.0
AUT,Austria,8913920.0,9.52,78.0
AZE,Azerbaijan,10276210.0,11.87,99.0
BHS,Bahamas,333580.0,3.11,27.0
BHR,Bahrain,1379922.0,22.75,165.0
BGD,Bangladesh,166358337.0,54.17,197.0
BRB,Barbados,297472.0,2.0,16.0
BLR,Belarus,9413449.0,9.84,82.0
BEL,Belgium,11846135.0,8.82,73.0
BLZ,Belize,395596.0,9.89,84.0
BEN,Benin,13725762.0,17.31,143.0
BTN,Bhutan,870112.0,22.78,166.0
BOL,Bolivia,12054370.0,29.63,184.0
BIH,Bosnia and Herzegovina,3806498.0,23.93,172.0
BWA,Botswana,2384063.0,12.47,107.0
BRA,Brazil,216878372.0,12.06,103.0
BRN,Brunei,470745.0,6.33,49.0
BGR,Bulgaria,6867646.0,18.86,152.0
BFA,Burkina Faso,21914677.0,8.66,70.0
BDI,Burundi,12697469.0,34.04,191.0
CIV,Côte d'Ivoire,28622030.0,10.45,91.0
CPV,Cabo Verde,561328.0,2.18,17.0
CMR,Cameroon,29372500.0,32.58,188.0
CAN,Canada,37594104.0,6.04,46.0
CYM,Cayman Islands,58915.0,8.0,63.5
CAF,Central African Republic,5499232.0,24.99,174.0
TCD,Chad,17996421.0,11.27,96.0
CHL,Chile,18102806.0,22.84,168.0
CHN,China,1415126381.0,28.18,182.0
CXR,Christmas Island,1362.0,2.9,25.5
CCK,Cocos Islands,466.0,1.7,11.0
COL,Colombia,48809889.0,16.23,134.0
COM,Comoros,809018.0,6.99,55.0
COK,Cook Islands,6351.0,1.13,6.0
CRI,Costa Rica,5176343.0,12.63,110.0
HRV,Croatia,4122935.0,14.15,124.0
CUB,Cuba,10855124.0,6.34,50.0
CUW,Curaçao,148078.0,3.7,33.0
CZE,Czechia,10700689.0,11.49,97.5
COD,Democratic Republic of the Congo,108370944.0,34.71,192.0
DNK,Denmark,5828515.0,7.08,57.0
DJI,Djibouti,940715.0,18.43,148.0
DMA,Dominica,67484.0,2.34,19.0
DOM,Dominican Republic,10626662.0,7.86,62.0
ECU,Ecuador,17258177.0,18.32,147.0
EGY,Egypt,107577572.0,19.16,154.0
SLV,El Salvador,6525580.0,27.43,179.0
GNQ,Equatorial Guinea,1643647.0,32.87,189.0
ERI,Eritrea,6148784.0,14.43,126.0
EST,Estonia,1200974.0,5.61,42.0
ETH,Ethiopia,113755806.0,16.94,138.0
FRO,Faroe Islands,47161.0,2.61,22.0
FJI,Fiji,897896.0,3.23,28.0
FIN,Finland,5463386.0,4.37,35.0
FRA,France,65826552.0,8.45,67.0
GAB,Gabon,2334485.0,25.65,178.0
GMB,Gambia,2396206.0,6.86,52.0
GEO,Georgia,4926730.0,13.65,118.0
DEU,Germany,84278085.0,8.51,69.0
GHA,Ghana,33060716.0,13.73,120.0
GIB,Gibraltar,24845.0,7.3,60.0
GRC,Greece,10352376.0,12.56,108.0
GRL,Greenland,31288.0,1.11,5.0
GRD,Grenada,106270.0,2.19,18.0
GLP,Guadeloupe,355723.0,2.35,20.0
GUM,Guam,165222.0,1.19,8.0
GTM,Guatemala,17685494.0,25.13,176.0
GUY,Guyana,750427.0,7.15,58.0
HTI,Haiti,11142349.0,9.92,86.0
HND,Honduras,9419437.0,24.52,173.0
HUN,Hungary,9701698.0,11.93,100.0
ISL,Iceland,335735.0,2.9,25.5
IND,India,1388526433.0,41.39,196.0
IDN,Indonesia,273955814.0,18.25,146.0
IRN,Iran,86590416.0,18.8,151.0
IRQ,Iraq,40461073.0,32.42,187.0
IRL,Ireland,5077586.0,5.41,41.0
ISR,Israel,9030238.0,14.32,125.0
ITA,Italy,60574847.0,13.11,112.0
JAM,Jamaica,2785453.0,13.17,113.0
JPN,Japan,122988765.0,11.26,95.0
JEY,Jersey,98012.0,6.94,54.0
JOR,Jordan,11001930.0,19.7,157.0
KAZ,Kazakhstan,19412475.0,12.01,102.0
