Year,Air_Pollution,Others
1990,74772,137375
1991,76929,143050
1992,82632,154896
1993,89265,170866
1994,93575,178842
1995,95459,187059
1996,97565,191060
1997,99744,196584
1998,99841,198557
1999,99072,198814
2000,97916,198345
2001,97702,199604
2002,95830,197470
2003,97756,196083
2004,97047,194223
2005,94563,190260
2006,91701,185180
2007,88688,180627
2008,85783,178117
2009,83061,175430
2010,81400,173381
2011,80097,172857
2012,79102,173131
2013,78804,173139
2014,77824,173842
2015,76749,175150
2016,76025,176952
2017,75401,179906
2018,74580,180892
2019,74355,181816
1990,1739829,5810347
1991,1758336,5977939
1992,1782223,6070215
1993,1800273,6174109
1994,1823535,6361781
1995,1847066,6487513
1996,1868515,6645794
1997,1889051,6795834
1998,1907191,6924207
1999,1919030,7013434
2000,1930167,7081406
2001,1925521,7105876
2002,1925197,7114575
2003,1917615,7093105
2004,1907730,7041139
2005,1899612,6969704
2006,1903232,6902990
2007,1892520,6771908
2008,1876795,6638650
2009,1866934,6531785
2010,1855693,6425109
2011,1847935,6327379
2012,1848965,6224496
2013,1851472,6144151
2014,1852116,6088240
2015,1850449,6035304
2016,1839070,5997204
2017,1817948,5947177
2018,1805741,5823485
2019,1798818,5756098
1990,5960,16239
1991,6094,16541
1992,5870,15981
1993,5615,15361
1994,5283,14582
1995,5343,14882
1996,5398,15306
1997,5402,15625
1998,5350,15855
1999,5244,15947
2000,5087,15976
2001,4840,15664
2002,4971,16546
2003,5203,17844
2004,5142,18226
2005,4963,18129
2006,4642,17481
2007,4394,17075
2008,4408,17667
2009,4308,17806
2010,4269,18225
2011,4324,18944
2012,4332,19465
2013,4361,20079
2014,4436,20953
2015,4503,21851
2016,4512,22418
2017,4525,22983
2018,4541,23561
2019,4556,24172
1990,28498,130870
1991,28922,132336
1992,29336,133800
1993,29833,135509
1994,30377,137362
1995,30801,138435
1996,31213,139124
1997,31770,139646
1998,32191,139943
1999,33108,142232
2000,33354,143148
2001,33360,143871
2002,33293,144736
2003,33184,145485
2004,33256,147009
2005,33283,148816
2006,33396,151187
2007,33494,153941
2008,33605,156835
2009,33951,160329
2010,34398,163591
2011,35341,168051
2012,36416,172560
2013,37703,177185
2014,39173,183242
2015,40452,189404
2016,40909,194153
2017,41626,199850
2018,43039,206958
2019,44457,213711
1990,30,212
1991,30,223
1992,30,232
1993,29,238
1994,29,249
1995,28,260
1996,29,268
1997,29,277
1998,28,285
1999,28,294
2000,27,301
2001,28,309
2002,28,317
2003,27,324
2004,26,331
2005,26,334
2006,27,338
2007,27,340
2008,27,344
2009,28,351
2010,28,354
2011,28,360
2012,27,370
2013,28,377
2014,28,386
2015,28,394
2016,27,402
2017,28,407
2018,28,413
2019,28,421
1990,20,191
1991,20,200
1992,22,214
1993,22,229
1994,23,236
1995,24,241
1996,25,248
1997,26,255
1998,27,260
1999,28,267
2000,28,275
2001,30,282
2002,30,293
2003,30,303
2004,31,317
2005,30,324
2006,31,332
2007,31,340
2008,31,353
2009,32,363
2010,32,375
2011,30,364
2012,30,364
2013,30,373
2014,30,381
2015,30,394
2016,28,401
2017,26,416
2018,26,428
2019,28,439
1990,41107,177882
1991,41664,180177
1992,42247,181965
1993,43174,185822
1994,43899,190866
1995,44213,193683
1996,43957,191420
1997,43922,190237
1998,44281,190353
1999,44321,188760
2000,44079,186689
2001,43444,181545
2002,42561,175728
2003,42020,170917
2004,42368,167645
2005,41377,162343
2006,40747,164752
2007,39771,158813
2008,38919,156615
2009,37782,155407
2010,36984,153961
2011,35898,153240
2012,34886,152013
2013,33575,149166
2014,32019,144063
2015,31091,141515
2016,30008,139340
2017,29234,139931
2018,28891,138096
2019,28823,137674
1990,52,352
1991,54,360
1992,53,367
1993,57,395
1994,57,399
1995,58,402
1996,54,385
1997,53,380
1998,52,379
1999,52,380
2000,50,379
2001,50,381
2002,48,382
2003,48,384
2004,46,387
2005,46,388
2006,48,395
2007,52,442
2008,52,445
2009,50,421
2010,51,429
2011,52,436
2012,53,443
2013,55,450
2014,58,468
2015,59,480
2016,58,489
2017,58,499
2018,59,509
2019,60,523
1990,31131,212966
1991,30795,211788
1992,30910,214128
1993,30395,212691
1994,29525,209430
1995,29476,211821
1996,29249,214191
1997,28874,216934
1998,28812,221299
1999,28476,224104
2000,27038,218624
2001,26623,220350
2002,26599,225243
2003,26410,228230
2004,25402,223714
2005,24792,220599
2006,24768,221933
2007,25558,228884
2008,24937,225077
2009,25197,226768
2010,25815,230874
2011,26370,232895
2012,26870,233889
2013,27392,235752
2014,27707,236277
2015,28324,241658
2016,28746,252888
2017,27757,257785
2018,27455,257248
2019,27606,261377
1990,6352,23548
1991,6649,24864
1992,7295,27396
1993,7592,28587
1994,7246,27393
1995,7220,27348
1996,7285,27684
1997,7017,26857
1998,6951,26765
1999,7012,27080
2000,6978,27033
2001,7110,27799
2002,7185,28379
