Substance,Sector,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2,Agriculture,105.17549323877,106.63005964831,111.6924684978,113.05987306372,117.3733390504,106.67652133829,110.52961111054,113.64512523407,111.19621098944,121.92765310392,122.22554365007,130.65426660736,133.73971403003,137.27967050997,134.22649009448,137.43084225837,136.8817328558,134.63019043044,135.0334713975,140.31844698486,146.29699882745,143.24964284068,143.0920588532
CO2,Buildings,3037.4407798141,3073.5940347999,3074.2101182202,3176.9887999171,3252.7490019802,3273.2207910939,3251.9994830675,3252.4880482505,3324.8085756845,3263.235806618,3333.7344987404,3265.9646145715,3231.3640264447,3349.8733146183,3292.2418000529,3317.8200364383,3350.0714299494,3421.0282003883,3434.2087604974,3379.6728842554,3322.8457164699,3375.4725666543,3385.6334190255
CO2,Fuel Exploitation,1941.6133018483,1928.0719442462,1961.5363401757,2121.7639022207,2133.3012971895,2200.2619580506,2256.7852621429,2295.6611437282,2293.4450496328,2277.3187664176,2397.1956618649,2413.0092254248,2463.4890742203,2504.3439997407,2467.0433370101,2538.3156696475,2453.051282191,2513.8814408078,2577.4326605267,2710.3191605016,2550.7334735652,2620.8725047,2619.237843634
CO2,Industrial Combustion,3874.763625685,3897.5487127821,3891.5410940084,4077.0960090739,4508.7586996639,4925.6269899471,5167.7194816113,5440.9763392753,5556.5298542611,5545.0791838539,6089.3361913419,6316.5258413155,6335.9869310703,6363.8030703395,6427.7681936152,6291.9303663681,6149.8989023546,6078.265669529,6213.4404598561,6249.9279989371,6194.0104671055,6341.3557338322,6223.6064675772
CO2,Power Industry,9375.5682339982,9580.1683559869,9718.8582112918,10275.47997721,10651.624403908,10999.048908694,11429.008274522,11922.191621651,11922.311170303,11736.104198165,12522.037998686,13125.537411798,13403.9608384,13643.025526534,13701.006520729,13402.260198592,13456.932307012,13770.780133527,14217.022443243,14088.010102935,13593.464512181,14655.450458618,14693.366675886
CO2,Processes,1595.1901757739,1619.6838320914,1699.3051403233,1789.8533836423,1900.8733609775,2015.1640349542,2171.9560442092,2322.3981399002,2332.8636721076,2327.1375360755,2503.6160289575,2655.1715505953,2741.0926815476,2823.5336121715,2885.7363588855,2857.5097712102,2972.8518647119,3032.3112800219,3105.9104092664,3198.0107791904,3236.3421331981,3332.1697036905,3220.3261935562
CO2,Transport,5781.0696545011,5810.0994401418,5961.7541913597,6086.8987680804,6369.2515297208,6510.4636985932,6662.1115593399,6869.9945696558,6874.2039007591,6734.5004504186,7019.7947623498,7136.2550238182,7196.357493429,7381.1458380671,7503.5417984359,7737.7494059046,7886.8116179103,8079.3397797349,8273.9331699722,8282.4787503174,7092.9024723669,7634.7049510285,7943.5014030552
CO2,Waste,14.6191347706,15.37028720761,14.392234897967,15.679906430787,14.814823895675,14.080314531016,14.985164374039,15.1597392676,15.890915325162,15.374297716095,15.701365614347,16.456243691079,15.722919551811,18.133249960897,16.205214125057,17.450160538077,17.161561912435,17.235336853469,17.572511585041,17.696023208768,17.712269990473,17.739419220751,17.859999240217
CH4,Agriculture,3850.4598396162,3848.9005145368,3876.2231519184,3912.4898744583,3988.4726152874,4045.3827181786,4095.6013611578,4144.4656301838,4216.6617619788,4230.6331027678,4262.7946671217,4289.7106353715,4318.2065820198,4352.701060593,4368.9245680087,4394.8556578399,4439.1434532616,4461.5071808602,4468.0321511045,4468.9340809336,4536.2438534397,4571.4877888852,4598.6094879956
CH4,Buildings,291.00129617688,288.1858998841,290.07006266586,295.32909203712,298.01674120137,300.02364994335,301.47564036322,298.84182043793,301.14613911834,299.47647623022,300.43114731107,294.74293695625,294.80563896324,295.21435645736,293.98424868339,290.19724294303,287.28460882097,288.44304927423,284.0511264044,280.3928255696,279.23240956144,279.33083595892,277.32741588242
